,ppl,xpl,labels
0,"(547, 322)","(545, 322)","(545, 327)"
1,"(100, 174)","(98, 176)","(102, 178)"
2,"(141, 1531)","(141, 1535)","(146, 1535)"
3,"(872, 1278)","(872, 1284)","(872, 1284)"
4,"(536, 715)","(534, 719)","(534, 719)"
5,"(894, 41)","(894, 43)","(896, 45)"
6,"(37, 1070)","(32, 1070)","(41, 1073)"
7,"(756, 898)","(754, 898)","(754, 905)"
8,"(650, 1688)","(650, 1699)","(654, 1692)"
9,"(966, 1232)","(968, 1236)","(968, 1238)"
10,"(250, 1337)","(248, 1332)","(253, 1339)"
11,"(309, 826)","(307, 831)","(309, 833)"
12,"(859, 580)","(861, 582)","(863, 584)"
